"","carat","length","width","depth","cut","color","clarity","fdepth","table"
"1423",1.14,6.69,6.74,4.18,"Ideal","H","SI1",62.2,54
"1424",1.56,7.45,7.41,4.62,"Ideal","J","SI2",62.1,55
"1425",1.23,6.92,6.86,4.22,"Premium","J","VVS2",61.2,57
"1426",1.02,6.41,6.44,4,"Ideal","F","SI1",62.3,56
"1427",1.08,6.59,6.54,4.13,"Premium","H","VS2",62.9,55
"1428",0.92,6.24,6.27,3.8,"Very Good","D","SI1",60.8,58
"1429",1.16,6.86,6.8,4.13,"Premium","F","VS2",60.5,59
"1430",1.33,6.97,7.01,4.38,"Very Good","J","VS2",62.7,59
"1431",1.03,6.6,6.54,3.91,"Premium","G","SI1",59.5,60
"1432",1.24,6.87,6.9,4.27,"Ideal","H","SI2",62,56
"1433",1.18,6.79,6.74,4.18,"Premium","H","SI1",61.8,58
"1434",1,6.39,6.41,3.96,"Ideal","D","SI1",61.9,57
"1435",1,6.43,6.39,3.98,"Premium","G","VS2",62.1,57
"1436",1.24,7.03,7.1,4.13,"Good","E","SI2",58.5,57
"1437",1.03,6.51,6.48,4.04,"Premium","G","VS2",62.2,56
"1438",0.3,4.31,4.33,2.65,"Ideal","H","VVS2",61.3,57
"1439",0.3,4.27,4.3,2.63,"Premium","F","VS2",61.4,60
"1440",0.3,4.22,4.25,2.66,"Very Good","H","VVS2",62.8,57
"1441",1.01,6.31,6.37,4,"Good","F","VS2",63.1,59
"1442",1.07,6.55,6.58,4.07,"Ideal","H","VS2",62,57
"1443",1.2,6.87,6.79,4.15,"Premium","H","SI1",60.8,60
"1444",1.01,6.36,6.32,3.94,"Premium","H","VS1",62.1,62
"1445",1.16,6.79,6.85,4.2,"Good","J","VVS2",61.6,57
"1446",1.33,7.04,7.02,4.39,"Premium","I","SI2",62.4,58
"1447",1.03,6.51,6.53,3.96,"Ideal","D","SI2",60.7,58
"1448",1,6.26,6.31,4.08,"Fair","F","VS2",64.9,56
"1449",1.2,6.82,6.75,4.23,"Premium","H","SI2",62.3,59
"1450",1.16,6.87,6.84,4.11,"Ideal","H","SI1",60,60
"1451",1.36,7.01,7.08,4.42,"Premium","I","SI2",62.7,58
"1452",1.01,6.37,6.42,3.99,"Very Good","F","SI1",62.4,59
"1453",1.01,6.46,6.36,3.95,"Premium","G","VS2",61.6,61
"1454",1,6.45,6.49,3.89,"Very Good","E","SI1",60.1,60
"1455",1.18,6.83,6.88,4.09,"Good","D","SI2",59.7,61
"1456",0.95,6.3,6.28,3.87,"Ideal","E","VS1",61.5,57
"1457",1,6.38,6.35,3.96,"Ideal","D","SI1",62.2,56
"1458",1.04,6.64,6.59,3.95,"Premium","H","VS1",59.7,59
"1459",1.13,6.81,6.72,4.1,"Premium","H","VS2",60.6,58
"1460",1.28,6.96,6.99,4.28,"Ideal","G","SI2",61.4,57
"1461",1.24,6.91,6.87,4.28,"Premium","I","VS2",62.1,55
"1462",1.04,6.54,6.47,3.98,"Premium","E","SI1",61.2,59
"1463",1.01,6.46,6.51,3.9,"Good","F","VS2",60.1,60
"1464",0.9,6.27,6.29,3.79,"Ideal","H","VS1",60.4,57
"1465",1.38,7.38,7.32,4.34,"Premium","J","SI1",59,59
"1466",1,6.4,6.33,4.02,"Very Good","E","VS1",63.2,53
"1467",1.05,6.5,6.56,4.03,"Very Good","G","VS2",61.7,55
"1468",1.28,6.87,6.9,4.38,"Very Good","I","SI1",63.6,54
"1469",1.27,6.82,6.87,4.33,"Good","I","VS2",63.3,63
"1470",1.05,6.59,6.54,4.1,"Premium","G","VS2",62.5,55
"1471",0.3,4.3,4.33,2.69,"Ideal","F","VS2",62.3,57
"1472",0.3,4.28,4.32,2.65,"Ideal","F","VS2",61.6,57
"1473",0.3,4.29,4.32,2.69,"Ideal","G","VS1",62.5,57
"1474",1.15,6.74,6.76,4.14,"Ideal","I","VS1",61.3,56
"1475",1.01,6.45,6.47,3.98,"Ideal","H","VS2",61.7,56
"1476",1,6.36,6.45,3.96,"Very Good","F","VS2",62.1,58
"1477",1.01,6.39,6.35,4.02,"Very Good","G","VS2",63.1,57
"1478",1.17,6.73,6.71,4.18,"Ideal","F","SI1",62.2,56
"1479",1.03,6.53,6.61,4.02,"Very Good","D","SI1",61.2,54
"1480",1.02,6.28,6.34,4.06,"Good","G","VS1",64.3,57
"1481",1.2,6.75,6.77,4.25,"Very Good","I","SI1",62.9,54
"1482",1.01,6.44,6.38,3.94,"Premium","G","VVS2",61.5,61
"1483",1,6.47,6.4,4.03,"Ideal","G","VS2",62.6,57
"1484",1.55,7.42,7.52,4.6,"Very Good","E","I1",61.6,58
"1485",1.26,6.82,6.85,4.3,"Very Good","E","SI2",62.9,59
"1486",0.94,6.34,6.28,3.93,"Premium","D","VS1",62.3,58
"1487",1.14,6.74,6.81,4.08,"Premium","H","VS2",60.2,58
"1488",1.01,6.49,6.56,3.99,"Very Good","F","VS2",61.1,56
"1489",1.09,6.63,6.53,4.1,"Premium","H","VS2",62.3,57
"1490",1.33,7.05,6.99,4.39,"Ideal","J","SI1",62.5,56
"1491",1.02,6.42,6.38,3.99,"Premium","D","SI1",62.3,59
"1492",1.21,6.86,6.81,4.19,"Premium","J","VVS1",61.3,59
"1493",1.5,7.09,7.03,4.58,"Fair","J","SI1",64.9,58
"1494",1.22,6.84,6.86,4.21,"Premium","E","SI2",61.5,58
"1495",1.01,6.42,6.4,4,"Very Good","G","VS2",62.4,58
"1496",1,6.58,6.47,3.81,"Very Good","F","VS1",58.4,63
"1497",1.21,6.73,6.67,4.27,"Good","G","VS1",63.7,57
"1498",1.25,6.89,6.94,4.26,"Ideal","H","SI2",61.6,55
"1499",1.03,6.41,6.48,4,"Very Good","G","VS2",62.1,57
"1500",0.99,6.33,6.4,3.95,"Ideal","F","SI1",62.1,58
"1501",1.3,6.94,6.87,4.4,"Good","H","SI2",63.7,57
"1502",1.23,6.89,6.85,4.28,"Ideal","H","SI1",62.3,57
"1503",1,6.45,6.4,3.98,"Ideal","E","VS2",61.9,56
"1504",0.3,4.3,4.32,2.66,"Ideal","G","VS1",61.7,57
"1505",0.3,4.3,4.32,2.67,"Premium","G","VS1",61.9,59
"1506",0.3,4.34,4.36,2.67,"Ideal","F","VS2",61.4,57
"1507",1.07,6.57,6.59,4.1,"Ideal","F","SI1",62.3,53
"1508",1.02,6.4,6.45,4.03,"Premium","G","VS2",62.7,58
"1509",1.07,6.54,6.6,4.05,"Very Good","F","SI1",61.6,58
"1510",1.21,7.07,6.91,4.11,"Premium","E","SI2",58.8,58
"1511",1.42,7.21,7.07,4.49,"Ideal","I","VS2",62.9,57
"1512",1.25,6.94,7,4.24,"Very Good","E","SI2",60.8,55
"1513",1.2,6.8,6.85,4.15,"Very Good","H","SI1",60.8,58
"1514",1.01,6.4,6.44,4.01,"Very Good","F","VS2",62.5,56
"1515",1.12,6.66,6.72,4.12,"Ideal","F","SI1",61.6,56
"1516",1.11,6.61,6.64,4.09,"Ideal","I","SI1",61.7,57
"1517",1.14,6.68,6.65,4.17,"Ideal","H","VS2",62.6,56
"1518",1.29,6.99,7.04,4.34,"Ideal","I","SI2",61.9,57
"1519",1.01,6.43,6.36,3.97,"Premium","F","VS2",62.1,60
"1520",1.29,6.98,7.04,4.3,"Very Good","I","VS2",61.3,58
"1521",1.15,6.71,6.76,4.2,"Ideal","H","SI1",62.4,54
"1522",1.01,6.43,6.39,4.02,"Ideal","G","VS2",62.7,56
"1523",1.15,6.62,6.69,4.16,"Very Good","F","SI1",62.5,59
"1524",1.5,7.28,7.24,4.59,"Very Good","I","SI2",63.2,52
"1525",1.33,7.11,7.08,4.35,"Ideal","J","VS1",61.3,57
"1526",0.9,6.07,6.02,3.88,"Good","F","VVS1",64.2,56
"1527",1.01,6.31,6.38,3.98,"Very Good","E","VS2",62.7,60
"1528",1.05,6.62,6.68,3.96,"Very Good","H","VS1",59.5,56
"1529",1.16,6.73,6.68,4.19,"Premium","G","SI1",62.5,58
"1530",1.31,7.1,7.07,4.3,"Premium","J","VS2",60.7,58
"1531",1.29,7.03,6.98,4.34,"Premium","I","SI1",62,59
"1532",1.03,6.48,6.41,4,"Premium","G","VS2",62.1,57
"1533",1.23,7,6.98,4.09,"Premium","H","VS2",58.5,62
"1534",1.22,7.01,6.96,4.14,"Premium","I","VS2",59.3,59
"1535",1.01,6.4,6.48,3.96,"Very Good","F","VS2",61.5,57
"1536",1.27,6.92,6.88,4.36,"Very Good","H","SI1",63.2,56
"1537",0.3,4.33,4.35,2.66,"Ideal","H","VVS2",61.3,56
"1538",0.3,4.36,4.39,2.65,"Premium","F","VS2",60.6,60
"1539",0.3,4.32,4.35,2.68,"Ideal","D","VS2",61.8,55
"1540",1.29,6.89,6.93,4.34,"Very Good","I","VS2",62.8,58
"1541",1.02,6.45,6.4,4.03,"Premium","G","VS2",62.7,58
"1542",1.51,7.28,7.25,4.59,"Very Good","J","SI2",63.2,58
"1543",1.01,6.21,6.16,4.06,"Fair","D","VS2",65.6,61
"1544",1.04,6.47,6.5,4.01,"Very Good","G","VS2",61.8,56
"1545",1.2,6.68,6.62,4.27,"Good","H","SI1",64.2,60
"1546",1.54,7.4,7.43,4.57,"Ideal","G","I1",61.6,55
"1547",1.33,7.02,7.05,4.39,"Ideal","J","VS1",62.4,55
"1548",1.58,7.68,7.59,4.51,"Premium","F","SI2",59.1,59
"1549",1.23,6.85,6.82,4.24,"Ideal","H","SI2",62.1,56
"1550",1.04,6.55,6.49,4.06,"Premium","G","VS2",62.3,54
"1551",1,6.32,6.28,4.02,"Good","F","VS2",63.8,58
"1552",1.07,6.55,6.48,4.03,"Premium","G","VS2",61.9,60
"1553",1.03,6.34,6.31,4.01,"Very Good","F","VS2",63.4,62
"1554",1,6.32,6.36,4,"Good","F","VS2",63.1,57
"1555",1.21,6.89,6.93,4.16,"Very Good","H","SI1",60.2,58
"1556",1.31,7.06,6.99,4.38,"Premium","J","VS1",62.3,56
"1557",1.01,6.44,6.52,3.92,"Very Good","G","VS1",60.5,60
"1558",1,6.27,6.38,3.98,"Very Good","E","VS2",62.9,59
"1559",1.01,6.44,6.46,3.92,"Good","E","VS2",60.8,63
"1560",1.24,6.95,6.89,4.24,"Ideal","H","SI1",61.3,57
"1561",1.01,6.38,6.48,3.98,"Very Good","G","VVS2",61.9,58
"1562",1.21,6.81,6.74,4.24,"Ideal","F","VS2",62.6,55
"1563",1,6.29,6.34,4,"Good","F","VS2",63.3,55
"1564",1.01,6.34,6.3,3.94,"Premium","F","VS2",62.3,58
"1565",1.18,6.8,6.77,4.22,"Ideal","I","VS1",62.2,55
"1566",1.19,6.77,6.81,4.2,"Ideal","H","SI1",62,56.4
"1567",1,6.33,6.46,3.88,"Good","E","VS2",60.7,62
"1568",1.18,6.81,6.85,4.15,"Very Good","G","SI1",60.8,58
"1569",1.01,6.28,6.35,3.92,"Good","F","VS2",62.1,58
"1570",0.29,4.27,4.3,2.63,"Ideal","G","VVS2",61.4,57
"1571",0.29,4.26,4.29,2.65,"Ideal","H","IF",62.1,55
"1572",0.24,4.05,4.07,2.45,"Very Good","F","VVS1",60.4,56
"1573",1.04,6.5,6.47,4.01,"Ideal","G","VS2",61.8,56
"1574",0.95,6.31,6.34,3.9,"Ideal","F","SI1",61.7,56
"1575",1,6.46,6.49,3.94,"Very Good","G","VS2",60.8,55
"1576",1.25,6.94,6.89,4.23,"Premium","I","VS2",61.2,58
"1577",1.02,6.36,6.46,4.01,"Very Good","G","VS1",62.6,58
"1578",1.5,7.18,7.25,4.59,"Good","J","SI2",63.6,58
"1579",1,6.25,6.32,4.01,"Very Good","E","VS2",63.8,59
"1580",1.08,6.56,6.5,4.12,"Very Good","F","VS2",63.1,57
"1581",1.31,7.02,6.98,4.33,"Premium","I","VS2",61.9,59
"1582",1.01,6.36,6.46,4.02,"Very Good","G","VS1",62.7,56
"1583",1,6.37,6.29,3.94,"Premium","F","VS2",62.2,59
"1584",1.3,7.06,7,4.33,"Premium","J","VS1",61.6,56
"1585",1.17,6.88,6.82,4.08,"Very Good","H","SI1",59.6,62
"1586",1.35,7.07,7,4.37,"Premium","I","SI1",62.1,58
"1587",1.1,6.58,6.63,4.14,"Ideal","H","VS2",62.7,56
"1588",1,6.37,6.42,4.01,"Ideal","G","VS1",62.7,54
"1589",1,6.26,6.32,4.02,"Good","F","VS2",63.9,62
"1590",1.01,6.4,6.38,3.88,"Very Good","G","VS1",60.7,63
"1591",1.07,6.53,6.55,4.07,"Ideal","G","VS2",62.2,57
"1592",1.04,6.54,6.48,3.97,"Very Good","F","VS2",61,60
"1593",1.01,6.29,6.24,4.09,"Fair","D","VS2",65.3,58
"1594",1,6.42,6.45,3.8,"Good","G","VS2",59.1,62
"1595",2.03,7.81,7.75,5.16,"Fair","G","I1",66.3,56
"1596",1.24,6.97,7.03,4.24,"Ideal","I","SI1",60.6,59
"1597",1.1,6.63,6.59,4.12,"Ideal","G","VS2",62.3,56
"1598",1.13,6.83,6.79,4.06,"Ideal","F","SI1",59.6,57
"1599",1,6.25,6.21,4.07,"Fair","F","VS1",65.3,59
"1600",1.01,6.42,6.46,3.99,"Very Good","E","VS2",62,55
"1601",1.57,7.43,7.36,4.6,"Premium","I","SI2",62.2,60
"1602",1.33,7.15,7.06,4.46,"Premium","H","SI2",62.8,52
"1603",0.3,4.34,4.32,2.61,"Premium","I","VS1",60.3,58
"1604",0.3,4.32,4.29,2.69,"Ideal","I","VS1",62.5,57
"1605",0.3,4.29,4.24,2.71,"Very Good","I","VS1",63.5,57
"1606",1.06,6.53,6.49,4.08,"Ideal","G","VS2",62.7,55
"1607",1.01,6.51,6.54,3.86,"Premium","F","VS2",59.2,60
"1608",1.02,6.44,6.41,3.95,"Premium","G","VS2",61.5,59
"1609",1.2,6.73,6.78,4.27,"Very Good","H","VS2",63.2,54
"1610",1.27,6.92,6.98,4.32,"Ideal","J","VVS2",62.2,54
"1611",1,6.44,6.48,3.87,"Good","G","SI1",59.9,58
"1612",1.25,6.76,6.71,4.31,"Good","F","VS2",63.9,58
"1613",1.27,6.83,6.89,4.28,"Very Good","I","VS2",62.4,58
"1614",1.14,6.77,6.72,4.12,"Premium","F","SI1",61.1,58
"1615",1,6.42,6.36,3.87,"Premium","G","VS2",60.6,59
"1616",1.45,7.17,7.11,4.59,"Fair","F","SI2",64.4,58
"1617",1.12,6.69,6.66,4.11,"Ideal","E","SI1",61.6,55
"1618",1.34,7.04,7.1,4.36,"Premium","G","SI2",61.7,58
"1619",1,6.53,6.5,3.82,"Premium","F","VS2",58.6,61
"1620",1.01,6.45,6.41,3.98,"Premium","G","VVS2",61.9,60
"1621",1.26,6.95,6.9,4.27,"Ideal","H","SI1",61.7,58
"1622",1.02,6.39,6.44,4.02,"Ideal","F","VS2",62.7,56
"1623",1.03,6.5,6.46,4.02,"Premium","F","VS2",62,58
"1624",1.24,6.9,6.95,4.22,"Ideal","H","SI1",60.9,57
"1625",1.01,6.34,6.37,3.99,"Very Good","G","VS1",62.8,59
"1626",1.2,6.75,6.7,4.22,"Premium","H","VS2",62.8,59
"1627",1.08,6.52,6.57,4.13,"Good","H","VVS1",63.1,57
"1628",1.29,7.08,6.99,4.34,"Ideal","F","SI2",61.7,54
"1629",1.01,6.53,6.58,3.94,"Ideal","G","VS2",60.1,55
"1630",1.01,6.39,6.5,3.94,"Very Good","E","VS2",61.1,62
"1631",1.01,6.47,6.6,3.95,"Very Good","E","VS2",60.4,58
"1632",1.04,6.55,6.57,3.99,"Ideal","G","VS2",60.8,57
"1633",1.09,6.61,6.65,4.06,"Ideal","D","SI1",61.3,55.9
"1634",1.01,6.48,6.42,3.98,"Premium","F","VS2",61.7,58
"1635",1.11,6.7,6.66,4.1,"Premium","G","VS2",61.4,58
"1636",0.3,4.3,4.26,2.69,"Premium","H","VS2",62.9,59
"1637",0.32,4.4,4.46,2.72,"Ideal","E","VS2",61.4,57
"1638",0.33,4.41,4.46,2.68,"Premium","D","SI1",60.4,60
"1639",1.18,6.73,6.79,4.24,"Ideal","I","VS1",62.6,55.3
"1640",1.27,7.03,6.92,4.31,"Ideal","E","VS2",61.8,55
"1641",1.43,7.23,7.16,4.47,"Ideal","J","SI1",62.1,58
"1642",1,6.54,6.48,3.85,"Premium","G","VS1",59.1,61
"1643",1.07,6.58,6.54,4.09,"Ideal","G","VS2",62.3,57
"1644",1.08,6.56,6.6,4.08,"Ideal","H","VS1",62,55
"1645",1.33,7.16,7.19,4.33,"Premium","G","SI2",60.3,58
"1646",1.2,6.87,6.82,4.19,"Ideal","H","SI1",61.2,60
"1647",1.2,6.78,6.82,4.21,"Ideal","H","SI1",61.9,56
"1648",1,6.42,6.39,3.95,"Ideal","F","VS2",61.7,54
"1649",1.1,6.57,6.61,4.1,"Ideal","H","VS1",62.3,55
"1650",1.29,7,6.95,4.3,"Ideal","H","SI1",61.6,57
"1651",1.06,6.48,6.45,4.1,"Very Good","G","VS1",63.4,57
"1652",1.53,7.43,7.38,4.49,"Very Good","H","SI2",60.6,63
"1653",1,6.34,6.38,3.95,"Very Good","E","VS2",62.1,59
"1654",1.04,6.34,6.43,4.07,"Good","F","VS2",63.7,58
"1655",0.63,5.5,5.47,3.43,"Ideal","D","IF",62.5,55
"1656",1.02,6.52,6.58,3.88,"Very Good","E","VS2",59.2,58
"1657",1.04,6.51,6.55,4.02,"Ideal","G","VS2",61.6,55
"1658",1.01,6.58,6.51,3.94,"Premium","G","VS1",60.2,59
"1659",1.22,6.81,6.76,4.21,"Premium","H","SI1",62,58
"1660",1.2,6.85,6.81,4.19,"Premium","H","VS1",61.3,58
"1661",1.01,6.37,6.41,3.97,"Very Good","D","SI1",62.1,59
"1662",1.2,6.81,6.84,4.16,"Ideal","D","SI2",61,60
"1663",1.09,6.66,6.68,4.09,"Ideal","H","VS1",61.3,54
"1664",1.09,6.72,6.78,3.97,"Good","H","VVS2",58.8,61
"1665",1.2,6.84,6.79,4.08,"Good","E","SI1",59.9,64
"1666",1.02,6.34,6.41,4.03,"Very Good","F","VS2",63.2,57
"1667",1.18,6.79,6.73,4.24,"Ideal","I","VS1",62.6,55
"1668",1.25,7.01,6.94,4.21,"Premium","I","VS1",60.4,59
"1669",0.32,4.4,4.43,2.71,"Ideal","H","SI2",61.4,56
"1670",0.31,4.36,4.38,2.68,"Ideal","H","SI1",61.3,57
"1671",0.32,4.38,4.4,2.71,"Premium","J","VS1",61.7,58
"1672",0.31,4.45,4.49,2.63,"Very Good","F","VS2",58.8,58
"1673",0.3,4.28,4.32,2.68,"Ideal","H","VVS2",62.3,54.4
"1674",0.23,3.93,3.98,2.43,"Very Good","D","VS1",61.5,58
"1675",1.01,6.44,6.46,4,"Premium","E","VS2",62,59
"1676",1.01,6.66,6.6,3.88,"Premium","G","VVS2",58.5,59
"1677",1.06,6.58,6.53,4.05,"Premium","F","VS2",61.8,60
"1678",1.51,7.42,7.32,4.45,"Premium","J","SI1",60.4,62
"1679",1.21,6.77,6.82,4.27,"Very Good","H","VS2",62.8,57
"1680",1.21,6.84,6.88,4.22,"Ideal","I","VS1",61.5,58
"1681",1,6.32,6.37,4.01,"Very Good","F","VS2",63.2,56
"1682",1.02,6.58,6.61,4,"Ideal","E","VS2",60.7,56
"1683",1.04,6.49,6.46,4.05,"Ideal","G","VS2",62.5,57
"1684",1.11,6.67,6.61,4.13,"Ideal","G","VS2",62.2,55
"1685",1.01,6.47,6.54,3.97,"Very Good","F","VS1",61,58
"1686",1,6.38,6.31,3.98,"Premium","E","VS2",62.7,59
"1687",1,6.4,6.35,3.98,"Premium","G","VS1",62.4,59
"1688",1,6.35,6.38,3.94,"Very Good","E","VS2",61.9,57
"1689",1.02,6.47,6.44,4.05,"Ideal","F","VS2",62.7,57
"1690",1.47,7.34,7.24,4.55,"Premium","I","SI2",62.4,55
"1691",1.5,7.3,7.32,4.45,"Good","J","SI2",60.9,62
"1692",1.07,6.54,6.59,4.03,"Very Good","H","VVS2",61.3,56
"1693",1.41,7.2,7.16,4.5,"Premium","J","VS2",62.7,56
"1694",1.01,6.33,6.28,4.08,"Fair","F","VS1",64.7,54
"1695",1.34,7.05,7.12,4.33,"Very Good","I","SI1",61.1,59
"1696",1.5,7.3,7.23,4.63,"Good","H","SI2",63.6,60
"1697",1.2,6.79,6.75,4.25,"Ideal","I","VS1",62.8,55
"1698",1.08,6.65,6.71,4.05,"Very Good","G","VS2",60.6,58
"1699",1.04,6.45,6.49,3.99,"Premium","F","VS2",61.7,59
"1700",1.01,6.46,6.44,4,"Premium","E","VS2",62,59
"1701",1.01,6.48,6.45,3.94,"Ideal","F","VS2",60.9,57
"1702",1.32,6.89,6.94,4.39,"Very Good","I","VS1",63.5,58
"1703",1.01,6.48,6.43,3.97,"Ideal","G","VS1",61.5,56
"1704",0.97,6.4,6.48,3.89,"Ideal","H","VVS1",60.4,57
"1705",0.28,4.25,4.26,2.59,"Very Good","E","VVS1",60.9,60
"1706",0.3,4.3,4.32,2.67,"Ideal","F","VS1",61.9,56
"1707",0.32,4.43,4.41,2.74,"Premium","G","SI1",62,55
"1708",1.5,7.38,7.47,4.49,"Premium","J","SI1",60.5,59
"1709",1.1,6.63,6.73,4.1,"Very Good","F","VS2",61.4,58
"1710",1.04,6.49,6.45,4.01,"Premium","D","VS2",62,60
"1711",1,6.21,6.28,4.05,"Very Good","G","VVS2",64.9,57
"1712",1.06,6.53,6.58,4.08,"Very Good","F","VS2",62.2,57
"1713",1.02,6.42,6.45,4.1,"Very Good","D","VS2",63.7,55
"1714",0.8,5.85,5.87,3.71,"Very Good","D","IF",63.3,57
"1715",1,6.29,6.36,4.04,"Very Good","F","VS2",63.8,56.9
"1716",1.5,7.27,7.2,4.4,"Good","H","SI2",60.8,64
"1717",1.09,6.52,6.58,4.11,"Ideal","E","SI2",62.7,55.9
"1718",1.25,6.97,6.9,4.21,"Premium","G","SI1",60.7,58
"1719",1.35,7.01,7.05,4.41,"Very Good","E","SI1",62.7,57
"1720",1.05,6.44,6.56,4.04,"Very Good","E","VS2",62.2,57
"1721",1,6.46,6.41,3.99,"Ideal","E","VS2",62,56
"1722",1.29,6.99,6.89,4.37,"Premium","I","VS1",63,57
"1723",1.21,6.83,6.76,4.21,"Ideal","E","SI1",62,56
"1724",1.06,6.54,6.58,4.06,"Ideal","G","VS2",61.9,54
"1725",1.52,7.21,7.25,4.6,"Good","J","SI1",63.6,60
"1726",1.01,6.3,6.35,4.02,"Very Good","G","VS1",63.6,57
"1727",1.23,6.84,6.77,4.25,"Premium","G","SI1",62.5,59
"1728",1.02,6.54,6.59,3.94,"Very Good","E","VS2",60,59
"1729",1.31,7.15,7.11,4.28,"Premium","I","VS2",60,58
"1730",1,6.41,6.49,3.99,"Very Good","F","VS2",61.9,58
"1731",1.01,6.49,6.52,3.95,"Premium","G","VS1",60.7,58
"1732",1.01,6.32,6.39,4.01,"Very Good","G","VS1",63.1,57
"1733",1.19,6.83,6.78,4.16,"Premium","H","VS2",61.1,58
"1734",1.11,6.55,6.6,4.09,"Very Good","G","VS2",62.2,57
"1735",1.21,6.79,6.83,4.23,"Ideal","G","SI1",62.1,57
"1736",1.22,6.82,6.8,4.3,"Very Good","G","VS2",63.1,56
"1737",1.01,6.59,6.54,4,"Premium","G","VVS2",60.9,59
"1738",0.32,4.4,4.38,2.71,"Ideal","D","SI2",61.7,55
"1739",0.34,4.54,4.5,2.79,"Premium","E","SI2",61.7,58
"1740",0.32,4.42,4.38,2.72,"Ideal","D","SI2",61.8,55
"1741",1.2,6.61,6.67,4.25,"Good","E","SI1",64,61
"1742",1.03,6.62,6.57,3.93,"Premium","D","VS1",59.6,61
"1743",1.05,6.51,6.54,4.02,"Ideal","G","VS2",61.6,59
"1744",1.1,6.65,6.71,4.08,"Very Good","F","VS2",61.1,57
"1745",1.24,6.97,6.91,4.2,"Ideal","G","SI1",60.5,60
"1746",1.01,6.32,6.39,3.99,"Very Good","F","VS1",62.8,58
"1747",1.3,7,7.05,4.23,"Premium","D","SI2",60.2,59
"1748",1.05,6.45,6.51,4.04,"Very Good","G","VS1",62.3,56
"1749",1.04,6.56,6.51,4.08,"Premium","E","VS2",62.4,58
"1750",1,6.4,6.46,3.9,"Good","D","VS2",60.7,61
"1751",1.04,6.59,6.63,3.97,"Ideal","F","VS2",60.1,59
"1752",1.15,6.65,6.72,4.18,"Very Good","H","VS1",62.5,56
"1753",1.04,6.4,6.43,4.09,"Good","G","VS1",63.8,57
"1754",1,6.42,6.35,3.96,"Premium","F","VS1",62,59
"1755",1.34,7.11,7.13,4.35,"Ideal","G","SI2",61.1,56
"1756",1.05,6.53,6.47,4.03,"Ideal","G","VS1",62,56
"1757",2.25,8.15,8.12,5.28,"Fair","G","I1",64.9,58
"1758",1.2,6.78,6.84,4.24,"Ideal","E","SI1",62.3,55
"1759",1.01,6.36,6.41,3.99,"Very Good","F","VS1",62.5,60
"1760",1.29,6.91,6.89,4.34,"Ideal","G","VS2",62.9,57
"1761",1.18,6.76,6.8,4.2,"Ideal","D","SI1",61.9,55
"1762",1.24,6.83,6.9,4.27,"Premium","H","VS1",62.2,59
"1763",1.38,7.2,7.17,4.41,"Ideal","G","SI2",61.4,55
"1764",1.28,6.99,6.94,4.26,"Premium","H","VS2",61.2,60
"1765",1.24,6.9,6.96,4.28,"Very Good","G","SI1",61.8,58
"1766",1.08,6.58,6.64,4.09,"Ideal","F","VS2",61.9,55
"1767",1.23,6.9,6.83,4.26,"Ideal","I","VVS1",62.1,57
"1768",1.15,6.68,6.64,4.17,"Ideal","H","VS1",62.7,57
"1769",1.01,6.39,6.36,3.98,"Premium","F","VS1",62.4,61
"1770",0.91,6.24,6.2,3.8,"Very Good","E","VVS2",61.1,61
"1771",0.32,4.46,4.44,2.71,"Ideal","G","SI1",60.9,57
"1772",0.41,4.75,4.77,2.97,"Ideal","J","VS2",62.4,55
"1773",0.33,4.44,4.47,2.74,"Very Good","H","VVS2",61.6,56
"1774",1.01,6.34,6.38,3.97,"Good","G","VVS2",62.4,61
"1775",1.2,6.91,6.99,4.11,"Very Good","I","IF",59.1,61
"1776",1.46,7.15,7.19,4.48,"Very Good","I","SI1",62.5,57
"1777",1.22,6.96,7.02,4.12,"Very Good","H","VS1",58.9,59
"1778",1.05,6.58,6.51,4.01,"Ideal","G","VS1",61.3,57
"1779",1.32,6.99,7.04,4.35,"Ideal","I","SI1",62,57
"1780",1,6.25,6.22,3.93,"Premium","E","VS2",63,58
"1781",1.04,6.56,6.54,4,"Premium","E","VS2",61.1,59
"1782",1.01,6.4,6.42,3.96,"Ideal","G","VS1",61.8,58
"1783",1.25,6.93,6.88,4.3,"Ideal","H","SI1",62.2,54
"1784",1.57,7.6,7.49,4.59,"Premium","J","VS1",60.8,61
"1785",1.02,6.61,6.52,3.97,"Premium","F","VS1",60.5,56
"1786",1.22,6.77,6.71,4.3,"Good","H","VS2",63.8,55
"1787",1.04,6.45,6.5,4.08,"Very Good","F","VS1",63,56
"1788",1.5,7.11,7.04,4.66,"Fair","H","SI1",65.9,56
"1789",1.18,6.57,6.53,4.25,"Ideal","H","VS1",64.9,58
"1790",1.24,6.9,6.83,4.27,"Premium","H","VS1",62.2,59
"1791",1.09,6.68,6.73,4.06,"Ideal","G","VS2",60.6,57
"1792",1.38,7.21,7.16,4.38,"Premium","H","VS1",61,60
"1793",1.31,7.03,6.98,4.38,"Good","I","VS2",62.5,56
"1794",1.01,6.48,6.39,4,"Ideal","F","VS1",62.2,57
"1795",1.05,6.56,6.59,4.04,"Ideal","G","VS1",61.5,55
"1796",1.14,6.69,6.66,4.17,"Ideal","G","VS1",62.5,56
"1797",2,7.99,7.82,5.14,"Fair","F","I1",64.9,57
"1798",1.5,7.27,7.2,4.5,"Premium","I","SI2",62.2,62
